id,name,description,content_type,type,priority,weight,severity,fix_type,pattern,fix_pattern,instruction,example_pass,example_fail,owner
spacing_button_label_padding,Button Label Padding,"Buttons must have adequate horizontal and vertical padding around their label text, with no text touching the button edge",web_design,llm,1,0.85,hard,suggest,,,Check the padding between button label text and the button's edges on every button and at every breakpoint. Flag any button where the label text touches or nearly touches the button border.,[button label centered with clear padding on all sides],[a translated/longer button label touching the left and right edges of the button],vision
responsive_breakpoints,Breakpoint Layout Integrity,"Layout must adapt correctly at every defined breakpoint (mobile, tablet, desktop)",web_design,llm,1,0.95,hard,suggest,,,"Render the page at each defined breakpoint and check that the layout reflows correctly — no broken grids, collapsed columns, or misplaced elements. Flag any breakpoint where the layout visibly breaks.",[3-column grid collapsing cleanly to 1 column at mobile width],[grid columns overlapping instead of stacking at mobile width],vision
responsive_no_horizontal_scroll,No Unintended Horizontal Scroll,The page must not produce horizontal scroll or overflow at any viewport width,web_design,llm,1,0.9,hard,suggest,,,Check the full width of the page at each viewport size. Flag any element that extends beyond the viewport causing horizontal scroll or a visible overflow gap.,[page fits fully within viewport width with no scrollbar],[wide table forcing horizontal scroll on mobile],script
responsive_touch_targets,Minimum Touch Target Size,Interactive elements must meet a minimum touch target size on mobile/touch viewports,web_design,llm,1,0.85,hard,suggest,,,"Check the tappable size of buttons, links, and form controls at mobile width. Flag any interactive element smaller than roughly 44x44px or with insufficient spacing from neighboring targets.",[mobile nav icons sized and spaced for easy tapping],[two icon buttons placed edge-to-edge with no tap spacing on mobile],script
responsive_text_reflow,Text Reflow Without Truncation,"Text must reflow naturally at narrower viewports without truncation, clipping, or overlap",web_design,llm,1,0.85,hard,suggest,,,"Check headline and body text at each breakpoint. Flag any text that gets clipped, overlaps an adjacent element, or is cut off with unintended truncation as the viewport narrows.",[headline wrapping to two lines cleanly on mobile],[headline clipped with a hidden overflow at mobile width],vision
font_family_consistency,Approved Font Family Only,Only the approved font family/families must be used across all text — no fallback or system font leakage,web_design,llm,1,0.9,hard,suggest,,,"Check every text element for the correct font family. Flag any element rendering in a system fallback font, indicating a failed font load or an incorrect override.",[all text rendered in the approved brand typeface],[body text falling back to a generic system serif font],script
font_hierarchy_consistency,Type Scale Consistency,"Heading, body, and label sizes must follow a single consistent type scale throughout the page",web_design,llm,2,0.75,soft,suggest,,,"Compare font sizes for each text role (h1, h2, body, caption, etc.) across sections. Flag any instance where the same role is sized inconsistently in different parts of the page.",[all h2 headings across sections sharing the same size and weight],[one section's h2 rendered noticeably smaller than h2s elsewhere on the page],vision
font_no_orphans_widows,No Orphans or Widows,Headlines and short paragraphs must avoid awkward single-word line breaks (orphans/widows),web_design,llm,2,0.6,soft,suggest,,,"Check headline and short-paragraph line breaks. Flag any line break that leaves a single short word alone on the last line, especially in headlines.",[headline breaking into two balanced lines],[headline leaving a single word stranded alone on the final line],vision
text_no_truncation,No Unintended Text Truncation,"No text should be unexpectedly cut off, clipped, or hidden by overflow",web_design,llm,1,0.9,hard,suggest,,,"Check all text containers for overflow: hidden or fixed-height clipping. Flag any text that is cut short with no ellipsis or visual indication, or any ellipsis appearing where full text was intended.",[card description fully visible within its container],[card description cut off mid-sentence with no ellipsis or 'read more' affordance],script
text_no_placeholder_content,No Placeholder Copy Remaining,"No lorem ipsum, dummy copy, or placeholder text should remain in the final build",web_design,llm,1,0.95,hard,flag,,,"Scan all text content on the page. Flag any lorem ipsum, 'TODO', 'lorem', bracketed placeholder text (e.g. '[headline here]'), or obviously unfinished copy.","[all sections containing final, reviewed copy]",[a testimonial section still showing 'Lorem ipsum dolor sit amet'],script
color_contrast_accessibility,Text/Background Contrast Ratio,"Text must meet WCAG AA minimum contrast ratio against its background (4.5:1 for body, 3:1 for large text)",web_design,llm,1,0.95,hard,suggest,,,Measure the contrast ratio between every text element and its background. Flag any combination falling below the WCAG AA threshold for its text size.,[body text with a contrast ratio above 4.5:1 against its background],[light gray text on a white background failing the minimum contrast ratio],script
color_brand_consistency,Brand Color Accuracy,"Brand colors used on the page must match the defined palette/tokens exactly, with no unapproved substitutes",web_design,llm,1,0.85,hard,flag,,,"Compare all colors used against the approved brand palette. Flag any color that is a near-miss, unapproved shade, or substitution not present in the defined palette.",[primary CTA using the exact approved brand color],[CTA button using a similar but off-palette shade of purple],vision
color_state_consistency,Interactive State Color Consistency,"Hover, active, focus, and disabled states must use consistent, clearly distinguishable colors across all interactive elements",web_design,llm,2,0.7,soft,suggest,,,"Check hover/active/focus/disabled styling on buttons, links, and inputs. Flag any element where the state change is missing, inconsistent with similar elements, or too subtle to notice.",[all primary buttons darkening consistently on hover],[one button showing no visible change on hover while others do],vision
image_resolution_quality,Image Resolution & Sharpness,"Images must not appear blurry, pixelated, or visibly upscaled beyond their source resolution",web_design,llm,1,0.85,hard,suggest,,,"Inspect every image at its rendered size. Flag any image showing visible pixelation, blur, or compression artifacts, especially when displayed larger than its native resolution.",[hero image rendering sharp and clear at full width],[thumbnail image upscaled and appearing visibly pixelated],script
image_alt_text,Descriptive Alt Text Present,All meaningful images must have descriptive alt text; decorative images must be marked appropriately,web_design,llm,1,0.8,hard,suggest,,,"Check the alt attribute of every image. Flag any meaningful image with missing, empty, or generic alt text (e.g. 'image123.png'), and flag decorative images missing an empty alt/aria-hidden treatment.",[product screenshot with alt text describing what it shows],[team photo with alt text left as the raw filename],script
image_aspect_ratio,Image Aspect Ratio Integrity,"Images must maintain their correct aspect ratio — no stretching, squashing, or distortion",web_design,llm,1,0.85,hard,suggest,,,Compare each image's rendered proportions against its source aspect ratio. Flag any image that appears stretched horizontally or vertically to fit its container.,[avatar image rendering as a perfect circle with no distortion],[banner image stretched vertically to fill a taller container than intended],script
icon_consistency,Icon Style Consistency,"Icons used throughout the page must share a consistent visual style, weight, and size within the same context",web_design,llm,2,0.7,soft,suggest,,,"Compare icons used across the page (line weight, fill vs. outline, corner style). Flag any icon that visually clashes with the rest of the icon set.",[all feature-list icons sharing the same outline weight and size],[one icon in a filled style while all others in the same list are outlined],vision
ds_component_reuse_check,Reuse Existing Design System Component,"Before building any new UI element, the design system's component library must be checked for an equivalent, reusable component already available in code",web_design,llm,1,0.9,hard,flag,,,"Before implementing any element from the design, search the design system's existing component catalog/codebase for a component that already covers the same purpose, variant, and props. Flag any element built as new or custom code when an equivalent component already exists and could be imported and reused as-is.",[a CTA implemented by importing the existing Button component with matching props instead of writing a new one],"[a new custom button/card/tag element built from scratch in code, duplicating a component that already exists in the design system]",pre-build
nav_links_functional,Navigation Links & CTAs Valid,"All navigation links and CTA buttons must point to a valid, working destination",web_design,llm,1,1,hard,flag,,,"Check every link and CTA on the page. Flag any link pointing to a placeholder ('#'), a broken URL, or the wrong destination for its label.","[every nav item and CTA linking to its correct, live destination]",[a 'Get Started' CTA still linking to '#' with no real destination set],script
interactive_states_present,Visible Interactive States,All interactive elements must have a visible hover and focus state,web_design,llm,1,0.8,hard,suggest,,,"Tab through and hover over every interactive element. Flag any button, link, or form control with no visible change on hover or keyboard focus.",[button showing a clear visual change on hover and a visible focus ring on keyboard tab],"[link showing no visible change on hover or focus, giving no feedback that it's interactive]",script
forms_validation_feedback,Form Validation Feedback,"Forms must show clear, immediate validation and error feedback for invalid input",web_design,llm,1,0.8,hard,suggest,,,"Submit forms with invalid and missing input. Flag any form that fails silently, shows no error message, or gives unclear feedback about what needs to be corrected.",[email field showing a clear inline error when an invalid address is entered],[required field left blank on submit with no error message shown],vision
a11y_keyboard_navigation,Full Keyboard Navigability,All interactive elements must be reachable and operable using only the keyboard,web_design,llm,1,0.9,hard,suggest,,,"Tab through the entire page using only the keyboard. Flag any interactive element that cannot be reached, has no visible focus indicator, or cannot be activated without a mouse.","[every nav link, button, and form field reachable in a logical tab order]",[a custom dropdown that cannot be opened or navigated via keyboard],script
a11y_semantic_structure,Semantic Heading Structure,"The page must use a single h1 and a logical, non-skipping heading hierarchy (h1 → h2 → h3)",web_design,llm,1,0.75,hard,suggest,,,"Check the document outline for heading tags. Flag any page with more than one h1, headings used purely for visual size rather than structure, or a heading level skipped (e.g. h2 straight to h4).","[page with one h1 and section headings following h2, h3 in order]",[page using three separate h1 tags for stylistic emphasis],script
perf_image_optimization,Image Weight Optimization,Images must be compressed and served in an appropriately sized/optimized format for web delivery,web_design,llm,2,0.7,soft,suggest,,,"Check image file sizes and formats relative to their rendered dimensions. Flag any image that is uncompressed, unnecessarily large in file size, or served far larger than its display size.",[hero image served as an optimized WebP sized to its display dimensions],[a 4000px-wide unoptimized PNG displayed at 400px width],script
perf_no_layout_shift,No Unexpected Layout Shift,Page elements must not shift position noticeably as content and images finish loading,web_design,llm,2,0.75,soft,suggest,,,Load the page and observe element positions before and after all assets finish loading. Flag any visible shift caused by images or fonts loading without reserved space.,[image loading into a pre-sized container with no layout shift],[text jumping downward once a hero image without reserved dimensions finishes loading],script
seo_meta_tags_present,Core Meta Tags Present,"Every page must have a title tag, meta description, and Open Graph tags",web_design,llm,2,0.7,soft,flag,,,"Check the page head for a unique title tag, a meta description, and Open Graph (og:title, og:description, og:image) tags. Flag any missing or default/placeholder value.",[page with a descriptive title tag and complete Open Graph tags],[page title left as the default 'Untitled Document'],script
seo_heading_structure,SEO-Friendly Heading Order,Heading tags must follow a logical order that reflects content structure for search crawlability,web_design,llm,2,0.65,soft,suggest,,,"Review the heading tag sequence for logical topical structure, independent of visual styling. Flag any heading order that would confuse a search crawler's understanding of page structure.",[headings following a clear topic → subtopic nesting matching the visual layout],[a heading hierarchy where h3 subsection titles appear before their parent h2],script
responsive_fluid_sizing,Fluid Sizing Over Fixed Width,"Elements must use max-width plus fluid width rather than a hard-coded fixed pixel width, so they shrink gracefully at narrower viewports",web_design,llm,1,0.85,hard,suggest,,,"Check containers, cards, and media for hard-coded fixed widths. Flag any element sized with a fixed pixel width instead of a max-width + fluid width pattern, especially where it could overflow at a narrower viewport.","[a card capped with a max-width and full fluid width, shrinking cleanly on narrow screens]","[a card fixed at a set pixel width, overflowing its container at a narrower viewport]",vision
responsive_actions_full_width,Actions Full-Width on Mobile,Primary and secondary action buttons must expand to full width on mobile rather than remaining at their inline/intrinsic size,web_design,llm,2,0.65,soft,suggest,,,"Check CTA and action buttons at mobile width. Flag any primary or secondary action rendering at a small intrinsic width with empty space beside it, when the design intends full-width mobile actions.",[a primary action button spanning the full content width on mobile],"[a CTA button on mobile rendering at its small intrinsic width, leaving empty space beside it]",script
layout_repeated_items_wrap,Repeated Item Rows Must Wrap,"Rows of repeated items (tags, logos, cards, checkboxes) must wrap to a new line rather than overflowing or being forced onto a single row",web_design,llm,1,0.85,hard,suggest,,,"Check any row of repeated items against the container width, accounting for item width and gaps. Flag any row that overflows its container instead of wrapping, or that has been forced onto one line via nowrap.",[a row of logos wrapping to a second line once they no longer fit in one row],"[a row of tags forced onto a single line, overflowing past the container edge]",script
responsive_intermediate_viewports,Layout Holds at Intermediate Widths,Layout must remain correct not only at the defined breakpoints but at the widths in between them,web_design,llm,2,0.7,soft,suggest,,,"Check the layout at widths between the defined breakpoints, not only at the exact breakpoint values or viewport extremes. Flag any in-between width where proportions look cramped, overlapping, or awkward even though both breakpoints look fine.",[layout holding correct proportions at a width midway between two defined breakpoints],"[content overlapping only at an in-between width that was never checked, even though both breakpoints looked correct]",script
responsive_granular_visibility,Granular Responsive Visibility,"Show/hide behavior across breakpoints must target only the specific element that should change, not an entire parent container",web_design,llm,2,0.7,soft,suggest,,,Compare which elements appear or disappear between breakpoints. Flag any case where hiding one element also hides unrelated sibling content because the visibility rule was applied too broadly to a shared parent.,"[only a decorative background graphic hidden on mobile, while its sibling content remains visible]",[an entire card hidden on mobile because a visibility rule was applied to its parent instead of just the decorative element inside it],vision
a11y_disclosure_state,Disclosure Widgets Expose State,"Expandable or collapsible UI (menus, drawers, accordions) must expose their open/closed state via ARIA attributes",web_design,llm,1,0.8,hard,suggest,,,"Check every toggleable disclosure element (mobile menu, accordion, dropdown, drawer). Flag any control missing an aria-expanded attribute, or where the value doesn't update when the element opens and closes.",[a mobile menu button with aria-expanded toggling between true and false as it opens and closes],"[a drawer toggle button with no aria-expanded attribute, giving screen reader users no indication of its state]",script
layout_content_driven_media_height,Media Containers Size to Content,Containers holding images or decorative graphics must let the natural aspect ratio determine height rather than forcing a fixed or stretched height,web_design,llm,2,0.7,soft,suggest,,,"Check containers wrapping images, illustrations, or decorative shapes. Flag any container with a forced fixed height or aspect-ratio override that causes its content to stretch, crop, or leave unnatural empty space.",[an illustration's container sized automatically to match the illustration's natural proportions],[a decorative graphic squashed to fit a container height that doesn't match its natural aspect ratio],vision
