Term English ,Notes English,Term German ,Variations German,Notes German,Category,Term English,Term German,glossary_sheet_id
Agent,"An agent, or AI agent, is a software program that can interact with its environment and carry out tasks autonomously on the basis of data. Agent refers to all agents inside and outside of monday, explaining what they do and how they interact with human coworkers
Example: 
Manage all agents in the account",Agent,KI-Agent,"Ein Agent oder KI-Agent ist ein Softwareprogramm, das mit seiner Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „Agenten“ und „KI-Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten. Im Zusammenhang mit „dein Team und die Agenten“ ist es oft besser, von „KI-Agenten“ zu sprechen, um zu betonen, dass Menschen und maschinelle Bots zusammenarbeiten.
Bsp.: 
Where people and agents work side by side. (EN)
Wo Menschen und KI-Agenten Seite an Seite zusammenarbeiten. (DE)",Product & Features
Agents,"Agents, or AI agents, are a software program that can interact with its environment and carry out tasks autonomously on the basis of data. Agents refers to all agents inside and outside of monday, explaining what they do and how they interact with human coworkers
Example: 
Manage all agents in the account",Agenten,KI-Agenten,"Agenten oder KI-Agenten sind ein Softwareprogramm, das mit seiner Umgebung interagiert und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „Agenten“ und „KI-Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten. Im Zusammenhang mit „dein Team und die Agenten“ ist es oft besser, von „KI-Agenten“ zu sprechen, um zu betonen, dass Menschen und maschinelle Bots zusammenarbeiten.
Bsp.:
Where people and agents work side by side. (EN)
Wo Menschen und KI-Agenten Seite an Seite zusammenarbeiten. (DE)",Product & Features
AI Agent,"Context: when the copy specifically highlights the AI character of the agents (though it is the exact same thing than agents )
Example: 
Meet your new teammates - AI agents that do the work for you.",KI-Agent,,"Ein KI-Agent ist ein Softwareprogramm, das mit seiner Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „KI-Agenten“ und „Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten.
Bsp.:
Agents created by users via the monday agent builder (EN)
Agenten, die von Benutzern mit dem monday agent Builder erstellt wurden (DE)
KI-Agenten, die von Benutzern mit dem monday agent Builder erstellt wurden (DE)",Product & Features
AI Agents,"Context: when the copy specifically highlights the AI character of the agents (though it is the exact same thing than agents )
Example: 
Meet your new teammates - AI agents that do the work for you.",KI-Agenten,,"KI-Agent sind ein Softwareprogramme, die mit ihrer Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen können. Die Begriffe „KI-Agenten“ und „Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten.",Product & Features
monday agents,product term for the monday native agents inside the monday platform,monday agents,,"monday agents wird überall dort verwendet, wo wir ganz spezifisch über die monday native Agenten sprechen, also Agenten, die in monday.com voreingestellt sind oder durch den Benutzer auf der Plattform erstellt werden können. Auch wenn im Englischen Original ""agent"" oder ""AI Agent"" verwendet wird, aber deutlich wird, dass nur die monday nativen Agenten gemeint sind, kann man ""monday agents"" verwenden.
Bsp.:
Add to monday AI Agent (EN)
Zum monday agent hinzufügen (DE)",Product & Features
API,"API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.",API,,API steht für Programmierschnittstelle
apps marketplace,,App-Marktplatz,,,Product & Features
automation,,Automatisierung
agile,"relating to a method of project management, used especially for software development, that is characterized by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.",agile,,Scrum-Terminologie
board,,Board,,,Product & Features
board menu,,Board-Menü,,,Product & Features
Basic Plan,One of our subscription plans - The Basic Plan offers you all the very basic features of the platform.,Basic-Paket,,,Product & Features
batch actions,"the process by which a computer completes batches of jobs, often simultaneously, in non-stop, sequential order",Bulk-Aktionen
annotation,,Anmerkung
backlog,"an accumulation of work, especially uncompleted work or matters that need to be dealt with.",Backlog
Admin,the admin of an account,Admin
balance,Balance used in the meaning of numbers . As in the balance of my account is 100$,Kontostand,Guthaben,"im Kontext von Zahlen: Kontostand, Bsp.: „Mein Kontostand beträgt 100 €.“
im Kontext von z. B. KI-Credits: Guthaben. Bsp: Dein Guthaben an KI-Credits ist ein beschrränkt, es wird bei der Nutzung von KI-Funktionen verbraucht und kann nachgekauft werden."
to balance,,gleichmäßig verteilen,,"Im Kontext von ausbalancieren, Bsp.: Das Arbeitspensum gleichmäßig verteilen"
all-in-one,,All-in-one
apps,,Apps
brief,A brief is a document used to outline the strategy of a project.,Briefing,,"Ein Briefing ist ein Dokument, in dem die Strategie eines Projekts zusammengefasst wird."
building blocks,as in the building block of our platform are the following,Bausteine,,"Die modularen Bausteine der Plattform, also z. B. Gruppen, Spalten, Automatisierungen, mit denen Boards bedürfnisgerecht gestaltet werden können. "
channel partnerships,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",Vertriebspartnerschaften
blocks,as in building blocks,Bausteine,Blöcke
benchmark line,,Benchmark-Linie
channel partner,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",Vertriebspartner
board views,"Board Views will allow you to see your data in one aspect, as in chart view or map view",Board-Ansichten
Adjust,,anpassen,angleichen,"Bsp: Einstellungen anpassen
Bsp: Verschiedene Werte angleichen"
calendar view,,Kalenderansicht
blog planning,,Blog-Planung
chart View,,Diagramm-Ansicht
bug,"Software bug. A bug can be an error, mistake, defect or fault, which may cause failure or deviation from expected results.",Bug
admin panel,,Adminbereich
automations,Automations allow you to use an event (like the changing of a status) to trigger an action (like sending a notification).,Automatisierungen
build-in,,integriert
built on monday.com,"as in monday marketer, built on monday.com",erstellt in monday.com
column,,Spalte
agile workflows,"The agile workflow is defined as a set of stages involved in product development. It is a project management methodology where a project is divided into smaller individual cycles called sprints. At each sprint, customers and stakeholders provide their feedback, which is incorporated at the end of each sprint.",agile Workflows
board owners,,Board-Inhaber
baseline,,Basislinie
bandwidth,,Bandbreite
bookmark,,Lesezeichen
center,"usually used in context: Template Center, Column Center etc.",Center
company,,Unternehmen
color picker,,Farbauswahl
checkbox column,,Checkbox-Spalte
collaboration,,Zusammenarbeit
button,,Button
board type,,Board-Typ
billable hours,,abzurechnende Stunden
boards,,Boards
cheese,"similar to a “bug”, but unlike a bug - a cheese is a small fix needed, or an improvement needed for a feature.",Cheese
chart,,Diagramm
creative requests,creative as in creative team,Kreativanfragen
CRM platform,Costumer Relationship Management platform,CRM-Plattform
customer support,,"Support-Team, Kundenservice",,"Support-Team, wenn der Support von monday.com gemeint ist. Kundenservice, wenn der Support des Kunden gegenüber dessen eigenen Kunden gemeint ist."
checklist,,Checkliste
collapse,,einklappen
DAM,"Short for ""digital assets management""",DAM
check your eligibility,,Überprüfe deine Berechtigung
dependencies,The Dependency Column creates vital connections between items that will help to better manage projects.,Abhängigkeiten
construction,,Konstruktion,Baubranche
column center,,Spaltenzentrale
compliance,,Rechtskonformität,Compliance
data-driven,as in data-driven decision making,datenbasiert
Done,,erledigt
contact support,,Support kontaktieren
Doc,"shorter term for ""Workdoc"", can be translated or kept in English",Doc
dev,short for developer,Entwickler
column summary,,Spaltenzusammenfassung
copy,"Please pay attention to the context: copy text OR creative copy: ""copy"" in the context of marketing, PM and content writing etc. simply means ""text"" (in the sense of advertising text).",kopieren,Copy
content planning,,Content-Planung
condition,,Bedingung
contact sales,,Vertrieb kontaktieren
customer success team,,Kundenerfolgsteam
dashboards,display different widgets to see your data in multiple ways,Dashboards
contact us,,Kontaktiere uns
cool tip,as in Cool tip: press on CTRL+B to search quickly,kleiner Tipp
CRM,Costumer Relationship Management,CRM
disable,,deaktivieren
existing,,bestehend
dropdown,,Dropdown
enterprise-grade security,,Sicherheit auf Enterprise-Niveau,höchster Sicherheitsstandard,Bedeutet hohe Sicherheitsstandards wie für den Anspruch von Großunternehmen
enterprise level,"Refers to large organisations and their structures, processes or software",Enterprise-Niveau,,"Bezieht sich auf große Organisationen, deren Strukturen, Prozesse oder Software"
embed,,einbetten
embeded,,eingebettet
for enterprises,,für Großunternehmen
form,,Formular
due date,,Deadline
formula,as in formula column,Formel
feature,as in new feature request,Funktion
deal,"used for Sales terminology: a ""deal"" is a qualified lead",Deal
forms,,Formulare
employee onboarding,,Mitarbeiter-Onboarding
existing tools,as in integrate your existing tools with monday.com,Tools aus deinem Arbeitsalltag
folder,as in work folder or subfolder,Ordner
folders,as in work folder or subfolder,Ordner
free tier,explains Our free subscription plan,kostenloser Tarif
feed ,,Feed
expand,,erweitern,,In der Benutzeroberfläche ausklappen — das Gegenstück zu einklappen. erweitern nur im Sinne von vergrößern oder ausbauen.
guests,,Gäste
end-to-end,Similar to a-z,End-to-End
email,,E-Mail
freelancer,,Freelancer
files column,allows you to add a file to the item,Datei-Spalte
facilities requests,Type of board - requests from facilities team,Facility-Anfragen
drag and drop,,Drag-and-drop
in process,,In Arbeit
On hold,,Pausiert
inbound sales,,Inbound Sales
inbox,,Posteingang
high level board,,High-Level-Board
high level view,,Gesamtübersicht
gantt,as in gantt view,Gantt
info box,,Infobox
interaction,,Interaktion
Info Boxes,,Infoboxen
integration Center,,Integrationscenter
heatmap,used to show user behavior on specific webpages or webpage templates.,Heatmap
in one place,as in all your tasks in one place,an einem zentralen Ort
insight,,Erkenntnis,"Einblick, Übersicht","Im Sinne von „Erkenntnisse gewinnen“ durch Dateneinsicht. Je nach Kontext kann auch Einblick oder Übersicht verwendet werden.
"
IT team,Information Technology team,IT-Team
inbox,,Posteingang
item card,a feature that lets you see the item in a visual costumized way,Elementkarte
billing,,Abrechnung
at item level,,auf Element-Ebene
bugs queue,"A bugs queue is an organized way to track any and all flaws that appear within your software. Once you identify bugs, you can manage and prioritize them via a bugs queue.",Bug-Queue
content calendar,a calendar used to planning content release,Content-Kalender
build,as in : build a monday.com board,erstellen,bauen,"in Kontext von ""create"": erstellen, Bsp: Boards oder Agenten
In Kontext von ""build"": bauen, Bsp: Workflows"
archive,,Archiv,,Archiv = Substantiv. Als Verb: archivieren.
auto number,,automatische Nummerierung
best practice,,Best Practice
assignee,the assignee of a task on a board,Zuständig
icon,,Symbol
iteration,,Iteration,,"Wiederholung einer Arbeitseinheit bzw. Arbeitsschritt, typisch in Scrum"
integration,,Integration
help center,,Hilfecenter
item,"items are a core object in the platform. Items are the objects that hold the actual data within the board, to better illustrate this, you can think of a board as a table and an item as a single row in that table.",Element
K,"The letter K, used in English as an abbreviation for ""thousand"" (100K for example). In german we would write the full number the following way 100.000",XXX.000,,"""K"" als Abkürzung für Tausend muss in die entsprechende Anzahl an Nullen geändert werden"
kickoff meeting,The first meeting of a project - This meeting is the time to establish common goals and the purpose of the project.,Kickoff-Meeting
like,to like something is when you push the like button,liken
link,,"Link, verlinken",,Nicht: Verlinkung
kickoff,The first meeting of a project - This meeting is the time to establish common goals and the purpose of the project.,Kickoff
low level board,,Low-Level-Board
map view,One of monday's views - lets the user view the board information on a map,Kartenansicht
manage,,"managen, verwalten",,"verwalten als Standard. managen nur, wenn ein bewusst umgangssprachlicher Ton gewünscht ist."
low-level board,,Low-Level-Board
mapping,,Mapping
monday Apps Framework,,monday Apps Framework
meet,,Begrüßt,Sag Hallo,"Im Kontext von ""meet our speaker"": Begrüßt, Bsp. bei einem Event wie Elevate
Im Kontext von ""meet your new teammates"": Sag Hallo"
Elevate,,Elevate,,"Elevate ist ein Event von monday.com für Benutzer und Interessierte, um in Vorträgen und Panels neue Entwicklungen kennenzulernen und voneinander zu lernen, wie sie monday konkret einsetzen können und welche Lösungen sich bei anderen Firmen in der Praxis bewährt haben."
dedicated,,speziell
deadline,,Deadline
dashboard,,Dashboard
high-level board,,High-Level-Board
Google Calendar,Should be in English,Google Kalender
dropdown column,,Dropdown-Spalte
date column,,Datum-Spalte
IT operations,Information Technology,IT-Betrieb
learn more,,Mehr erfahren
lead,"Sales term: the ""lead"" is a potential customer",der Lead
left panel,,Linker Bereich
let's say,,Sagen wir
low code no code,a way in which we refer to our product - simply used without any code knowledge,"Low-Code, No-Code"
main boards,,Haupt-Boards
launch,start or set in motion,Launch
join us,,Mach mit
media coverage tracking,,Verfolgung der Medienberichterstattung
listing,Real estate listing,Objekt
monday workdocs,monday product for creating documents,monday workdocs
kanban board,"A view that presents items visually (on a board or dashboard), allowing team members to see the state of every piece of work at any time.",Kanban-Board
monday.com,,monday.com
monday Apps,,monday Apps
monday dev,,monday dev,,monday Produkt für Softwareentwicklung
monday work management,,monday work management,,monday Produkt für Arbeitsmanagement
monday CRM,,monday CRM,,"monday Produkt für CRM, costumer relationship management"
monday marketer,monday product for marketers,monday marketer
monday projects,monday product for project managers,monday projects
link to Item column,a column that allows you to link an item from another board,Verlinkungsspalte
marketing plan,,Marketingplan
nonprofits community,,Non-Pro­fit-Community
my work,a feature that shows the relevant items for you - taken from several boards you are member of,Meine Arbeit,,"Bereich im monday.com Konto, in dem man alle Tasks sehen kann, die einem in verschiedenen Boards zugewiesen wurden."
numbers column,a column that allows you to display numbers,Zahlenspalte
nonprofit program,,Non-Profit-Programm
mirror column,a column type that allows the user to mirror items from one board in a different board,Spiegel-Spalte
nonprofit plan,,Non-Profit-Paket
manufacturing,,Fertigung
one platform,"example: ""one platform to manage your tasks""",eine zentrale Plattform
opportunity management,Opportunity management—sometimes called pipeline management—is the process of organizing and tracking the deals in your sales pipeline.,Opportunity Management
pain point,Pain points include any problems the customer may experience along their journey.,Herausforderung
over time,,Zeitverlauf
no credit card needed,,Keine Kreditkarte nötig
mobile,,Mobilgerät
get started,often used as CTA in the website and landing pages,jetzt loslegen
free trial,Our free subscription plan,kostenlose Testversion
enterprise plan,Our Enterprise subscriotion plan,Enterprise-Paket
fundraising,,Fundraising
high-level,"talking in general, or an important forum involving important people",Gesamtübersicht
hide column summary,,Spaltenzusammenfassung ausblenden
features,,Funktionen
plan,,Paket,,"Paket nur für Preis- und Tarifpakete, etwa das Pro-Paket. Für einen Projektplan, Zeitplan oder Ablauf: Plan bzw. Zeitplan."
permission to access,,Zugriffsberechtigung
overview,,Überblick
pitch,"Technical term in PM/Creative/Sales: the ""pitch"" or ""pitching"" is the short presentation of a product, an idea or a service that is intended to convince the client.",der Pitch
partnership group,"As in ""Business partner"". A partnership is a formal arrangement by two or more parties to manage and operate a business and share its profits.",Partnerschaft-Gruppe
PMO,project management office - used in project management industry,PMO,,Projektbüro
portfolio,,Portfolio
onboarding,,Onboarding
outbound sales,,Outbound Sales
people column,type of column - that allows you assign people to a specific item,Personen-Spalte
priority,Low/Medium/High,Priorität
privacy policy,,Datenschutzerklärung,,"Externe Datenschutzerklärung (z.B. Website): Informiert Nutzer transparent über Datenerhebung, Verarbeitungszweck, Speicherdauer und Betroffenenrechte (z. B. Auskunft, Löschung)."
phone column,allows you to add a phone number to the item,Telefon-Spalte
private board,,privates Board
quota attainment,"The Sales Quota Attainment metric measures the time it takes for a specific sales target to be hit, helping sales teams keep an actionable timeline in mind, and allowing sales managers to forecast future revenue",Quotenerfüllung
project beta,,Projekt Beta
ready to use,,gebrauchsfertig,einsatzbereit
link column,The Link Column allows you to add an hyperlink to the item,Link-Spalte
location column,allows you to add a location to the item,Standort-Spalte
knowledge base,monday's help center,Wissensdatenbank
HIPAA compliance,,HIPAA-Konformität
in one central place,"example: ""All your tasks in one central place'",an einem zentralen Ort
long Text column,a column that allows you to display long text,Langtext-Spalte
label,,Label,,Label = Substantiv. Als Verb: kennzeichnen bzw. beschriften.
leads,"Sales term: the ""lead"" is a potential customer",Leads
kanban,"A view that presents items visually (on a board or dashboard), allowing team members to see the state of every piece of work at any time.",Kanban
mobile app,,mobile App
main table,"Table = chart, not dining table",Hauptansicht
marketplace,,Marktplatz
monday.com Work OS,Work OS = Work Operating System,monday.com Work OS,monday Work OS,Arbeitsbetriebssystem
on demand,for example - watch webinar on demand,auf Abruf
multi-board guest,"a guest in monday account, who is a guest in a few boards",Multi-Board-Gast
items,"items are a core object in the platform. Items are the objects that hold the actual data within the board, to better illustrate this, you can think of a board as a table and an item as a single row in that table.",Elemente
note,,Hinweis
private boards,,private Boards
post-sales,Post-Sales refers to a collection of processes that you need to perform after a customer purchases your service. Give your customers an outstanding experience by planning a smoother post-sales process with our checklist.,Aftersales
rating column,allows you to rate the item,Bewertungsspalte
Q1,1st Quarter,Q1
R&D,,R&D
R&D Team,,R&D-Team
refund policy,,Rückgaberecht
request a demo,,eine Demo anfordern
project alpha,,Projekt Alpha
RSVPs,,Anmeldungen
roadmap,strategic plan that defines a goal or desired outcome and includes the major steps or milestones needed to reach it.,Roadmap
Q4,4th Quarter,Q4
retrospectives,A meeting of software developers team in which the developers reflects on what happened in the iteration and identifies actions for improvement going forward.,Retrospektive
recipes,"reffers to an automation recipe - for example ""When X happens, notify Y""",Formeln
sales deck,,"Verkaufspräsentation, Pitch Deck",,Verkaufspräsentation als Standard. Pitch Deck nur im Startup- oder Investorenkontext.
sales pipeline,The sales pipeline is a tool for converting leads into sales. It provides sales leaders with a visual representation of the different stages of the sales process ,Vertriebs-Pipeline
remote work,,Remote-Arbeit,Homeoffice,"Im Kontext des Typs der Arbeit: Remote-Arbeit, Bsp.: Heutzutage ist Remote-Arbeit ein Plus für Mitarbeiter
Im Kontext von von Zuhause arbeiten: im Homeoffice arbeiten"
quick search,a feature for performing a quick search within the plarform,Schnellsuche
recycle bin,,Papierkorb
release,usually refers to feature release,Release
run,as in Run command,ausführen
search everything,perform a search within monday,Alles durchsuchen
search everything,a feature for performing wide search accross the plarform,Alles durchsuchen
progress tracking,,Fortschrittskontrolle
reporting,,"Berichterstattung, Reporting",,"Im Geschäftskontext Reporting. Berichterstattung nur, wenn es um Berichte im journalistischen Sinn geht."
recruiting,HR term,Personalbeschaffung
partner,"As in ""Business partner"". A partnership is a formal arrangement by two or more parties to manage and operate a business and share its profits.",Partner
office ops,Office operations,Büroverwaltung
plugin,similar to integration - a software component that adds a specific feature to an existing computer program.,Plugin
Q2,2nd Quarter,Q2
search bar,,Suchleiste
person,,Person
scope,"as in ""scope of work""",Umfang
save time,,Zeit sparen
sales team,,Vertriebsteam
seats,"Refers to as ""users"". For example - in the pricing page - 40 seats = 40 users",Benutzer
social media calendar,,Social-Media-Kalender
shareable boards,,Teilbare Boards
Q3,3rd Quarter,Q3
search filter board feature,,Suchfilter-Board
pro plan,,Pro-Paket
sales rep.,short for Sales Representative,Vertriebsmitarbeiter,,Vertreter
recipe,"reffers to an automation recipe - for example ""When X happens, notify Y""",Formel
platform,,Plattform
report,,Bericht
paying account,,zahlendes Konto
permissions,,Zugriffsberechtigung
pin,,Pin,,Pin = Substantiv. Als Verb: anpinnen.
revenue,Income,Umsatz
shortcut,,Shortcut
solution,"a set of pre-made boards designed for a specific use case - for example, HR solution, Project Management solution, Construction solution",Lösung
Single Sign On,SSO,Single Sign-On,,"Einmalanmeldung (SSO): ist eine Authentifizierungsmethode, die es Nutzern ermöglicht, sich mit einem einzigen Satz von Anmeldedaten (Benutzername und Passwort) bei mehreren unabhängigen Anwendungen und Webseiten anzumelden"
takeaway,Lesson learned,Gewonnene Erkenntnisse
sprint management,Sprint planning/management is an event that kicks off the sprint. The purpose of sprint planning is to define what can be delivered in the sprint and how that work will be achieved.,Sprint-Management
ticket,"for example: ""IT ticket"" is a ticket is a report or service request from the IT team",Ticket
two-factor authentication,,Zwei-Faktor-Authentifizierung
tutorial video,a platform walk-through/how-to video,Tutorial
subscribers,,Abonnenten
timeline,,Zeitleiste
Startup for Startup,,Startup for Startup
teammates,,Teammitglieder
timeline column,type of column,Zeitleistenspalte
timeline view,a view to present all the information from a board as a timeline,Zeitleistenansicht
to manage,,führen
timeline summary,,Zeitleisten-Zusammenfassung
text column,a column that allows you to display text,Text-Spalte
team,,Team
versus/VS.,,versus
vs,,vs.
update section,The Updates Section is where you can communicate and collaborate with all your team members and collect important details of your item.,Update-Bereich
updates section,,Updates-Bereich
team lead,,Teamleitung
table,,Tabelle
user,,Benutzer
use cases,,Anwendungsfälle
volunteer management,,Freiwilligen-Management
Welcome to,,Willkommen bei
twentyfour seven,,24/7
trigger,,Trigger,,"Trigger = Substantiv, der Auslöser einer Automatisierung. Als Verb: auslösen."
virtual team,,virtuelles Team
summary,,Zusammenfassung
